repetition,num_adv_hsdirs,hsdir_matches_at_least,pubkeys_list_size,time
6,10,2,540,3011.9436939220177
6,10,2,720,3971.473706363002
6,10,2,900,5060.4143033060245
6,15,1,180,1.5278878069948405
6,15,1,360,3.111386890988797
6,15,1,540,4.675236618029885
6,15,1,720,6.011025684070773
6,15,1,900,7.284751657978632
6,15,2,180,321.59350719104987
6,15,2,360,658.305666011991
6,15,2,540,970.5789703930495
6,15,2,720,1316.1050817830255
6,15,2,900,1641.6004931869684
6,20,1,180,1.047706066048704
6,20,1,360,2.073964016046375
6,20,1,540,3.316996078006923
6,20,1,720,4.426623010076582
6,20,1,900,5.47396180301439
6,20,2,180,158.55967417708598
6,20,2,360,347.4107362650102
6,20,2,540,513.4389899739763
6,20,2,720,678.9245744299842
6,20,2,900,871.9688331410289
6,25,1,180,0.9030605079606175
6,25,1,360,1.8020016809459776
6,25,1,540,2.955533674918115
6,25,1,720,4.057856390951201
6,25,1,900,5.149687023949809
6,25,2,180,36.1734280330129
6,25,2,360,73.5548103239853
6,25,2,540,112.65687176899519
6,25,2,720,151.5113783669658
6,25,2,900,192.54601315991022
7,10,1,180,2.1903630279703066
7,10,1,360,4.178368476917967
7,10,1,540,6.010261429939419
7,10,1,720,7.805298532941379
7,10,1,900,9.483401163946837
7,10,2,180,475.98074797797017
7,10,2,360,1017.5866700470215
7,10,2,540,1498.7617645990103
7,10,2,720,2019.6651017179247
7,10,2,900,2518.492716791923
7,15,1,180,1.3450466679641977
7,15,1,360,2.67773465893697
7,15,1,540,4.0108802990289405
7,15,1,720,5.075402598944493
7,15,1,900,6.213365096016787
7,15,2,180,241.41562126297504
7,15,2,360,497.73769573902246
7,15,2,540,741.5993233029731
7,15,2,720,977.9407759649912
7,15,2,900,1175.511731948005
7,20,1,180,0.9717346330871806
7,20,1,360,1.918105308082886
7,20,1,540,3.0814081981079653
7,20,1,720,4.145133693004027
7,20,1,900,5.271689422079362
7,20,2,180,98.01827857200988
7,20,2,360,190.800805278006
7,20,2,540,305.6345614771126
7,20,2,720,412.672770525096
7,20,2,900,523.1478421720676
7,25,1,180,0.7893367590149865
7,25,1,360,1.7387726709712297
7,25,1,540,2.8846800919855013
7,25,1,720,3.956443645991385
7,25,1,900,5.031359761953354
7,25,2,180,112.49074242799543
7,25,2,360,214.54029879404698
7,25,2,540,327.42633713805117
7,25,2,720,444.20485278894193
7,25,2,900,562.3730248929933
8,10,1,180,1.5467503600521013
8,10,1,360,3.229224062990397
8,10,1,540,4.650252531049773
8,10,1,720,6.068213407997973
8,10,1,900,7.567322263028473
8,10,2,180,341.2282011830248
8,10,2,360,686.164385852986
8,10,2,540,1041.1081156400032
