nickname,fingerprint,is_guard,is_exit,country,region_name,city_name,latitude,longitude,as,advertised_bandwidth,guard_probability,middle_probability,exit_probability
PXArelay02,E384748293FC4429E2B427360DB4F9D4C3D619D1,True,False,dk,unknown,unknown,55.7123,12.0564,unknown,34403328,0.00055638526,0.00038927226,0.0
inquisitively,E38CCCE275ADC46DF35FB764AA28D4EF722CFA54,True,False,de,unknown,unknown,51.2993,9.491,AS35366,5478501,0.00011629707,8.136668e-05,0.0
baxTianRelay,E39A758BD81DD27E8AA27998688E816D0A13DC82,True,False,fr,\u00CEle-de-France,Paris,48.8607,2.3281,AS16276,12334231,0.00041205977,0.00028829562,0.0
Quintex98,E3A491D490DC1C3832D7F68615EEB4508C857D8B,False,True,us,unknown,unknown,37.751,-97.822,AS62744,13855207,0.0,0.0,0.0004420255
theqube,E3B0739EEFFF0DE4203BBE8563F2A1C89D410347,False,False,hk,unknown,unknown,22.25,114.1667,AS133398,9521159,0.0,0.00018132872,0.0
morgtor,E3BE523603E9CB038A289FA38066E01A4FE7BD98,False,False,de,Land Berlin,Berlin,52.5522,13.4121,AS3209,6226507,0.0,0.00017066233,0.0
las1,E3C80B91620F9B4352C403B2D692C09403DA2599,True,True,us,Nevada,Las Vegas,36.1685,-115.1164,AS53667,6268928,0.0,0.0,0.00010745793
jaredfucks,E3D61BAEA0B7CB12CACEDC8821C520557BDFCEA3,True,False,de,unknown,unknown,51.2993,9.491,AS24940,70349697,0.002091674,0.0014634295,0.0
Hydra17,E3DAF067B028450B31CF5CE118F2F9AC53146ABD,True,True,unknown,unknown,unknown,unknown,unknown,unknown,9925632,0.0,0.0,0.000296843
sergei,E3E7491900ECA759D7FA64E6B1CCBD6AC69474D7,True,False,bg,Sofia-Capital,Sofia,42.683,23.3175,AS59729,13053233,0.00033885118,0.00023707558,0.0
taipe,E3E75603998661EA67C6767493FC606830DDC345,True,False,se,unknown,unknown,59.3247,18.056,AS42237,34264336,0.00062122714,0.00043463855,0.0
cebeta,E3E9C6C0B55F1C196ADFFB66DCC9BDC31A9E4F21,False,False,es,Catalonia,Barcelona,41.3891,2.1611,AS49635,683382,0.0,1.1341934e-05,0.0
cosmo4,E3EA995CFEFBCFF11F848F89E67F786479AF28CF,True,False,ca,unknown,unknown,43.6319,-79.3716,AS31798,2643385,4.5180157e-05,3.1610078e-05,0.0
TOR2503,E3F0C0256ED330F70347B9E71CE1EC54130C8C15,False,False,at,Lower Austria,Herzogenburg,48.2814,15.6943,AS8447,637222,0.0,9.208655e-06,0.0
Finisterre,E3F98C86C9E01138DD8EA06B1E660A0CDB4B2782,True,False,fi,unknown,unknown,60.1708,24.9375,AS24940,18558477,0.0005020017,0.00035122308,0.0
ZeroMeaning,E4012D3B0DFB5CB743A21C2CA41231BBA29786BB,True,False,ca,Quebec,Montreal,45.5063,-73.5794,AS16276,5932564,0.00010772121,7.536662e-05,0.0
xmission1,E41B16F7DDF52EBB1DB4268AB2FE340B37AD8904,True,True,us,Utah,Brigham City,41.5079,-112.0152,AS6315,10561720,0.0,0.0,0.00020996212
theia0,E4240508EFC308D01665A07BD98B8564740D3376,True,False,us,Washington,Seattle,47.6144,-122.3447,AS174,8096519,0.00018364897,0.0001284891,0.0
punki,E43244684E0C924EC082B8ECC735FAF2F8CF1C45,True,True,it,unknown,unknown,43.1479,12.1097,AS8612,3860690,0.0,0.0,5.5634246e-05
Haggar,E432C6B90254DD0675F86D3E4D5F3A2CA100DE8B,True,False,de,unknown,unknown,51.2993,9.491,AS197540,20971520,0.0006902524,0.00048293173,0.0
HSLtor,E43A346CB81DDF364B6FF68235AFADBA0E8692B8,True,True,de,unknown,unknown,51.2993,9.491,AS60729,30668800,0.0,0.0,0.001943388
witlynx,E43F9C33A75C75D7A2D82866367DC7585EC01203,True,False,no,Oslo County,Oslo,59.8468,10.7747,AS57963,2477369,4.81085e-05,3.365888e-05,0.0
AsiaArgento,E459E02374D0385D2E2515CBBE707EA208966BCF,True,False,fr,unknown,unknown,48.8582,2.3387,AS12876,13463302,0.00038905136,0.00027219788,0.0
stimut,E45DEAAAB9DAFB7E2A15FC202922FBF8E54827D6,False,False,au,Queensland,Brisbane,-27.4732,153.0215,AS4764,1672432,0.0,1.230191e-05,0.0
FortyTwoOne,E45EC3830D8AD7F23FF1BEF8AC1F7519555A3515,False,False,us,Colorado,Castle Rock,39.4436,-104.8536,AS209,2429471,0.0,2.8443723e-05,0.0
Hydra19,E465AD166798A3CD0A4866FA2A8BB5ADD157FBD5,True,True,unknown,unknown,unknown,unknown,unknown,unknown,8267776,0.0,0.0,0.0003406645
Digitalist2,E46777C6EFB6036190EFAAD9B13EE9D0E75C5510,True,False,at,unknown,unknown,48.2,16.3667,AS44133,8140768,0.00024681754,0.00017268468,0.0
teller,E46979A3053D43ADF187463A6E4856C875BC8C89,True,False,us,New Jersey,Newark,40.739,-74.1697,AS63949,2097152,3.597679e-05,2.5170988e-05,0.0
TittyTwister,E46C3F0533709EE2112874B13A4FE3868B33E75E,True,False,de,unknown,unknown,51.2993,9.491,AS24940,59803574,0.0019034232,0.0013317209,0.0
Quintex34,E480D577F58E782A5BC4FA6F49A6650E9389302F,False,True,us,unknown,unknown,37.751,-97.822,AS62744,11261952,0.0,0.0,0.00024273297
Unnamed,E48AD02C54FD3F8C3A4EA37452CE3281A0D246A4,False,False,de,Bavaria,Munich,48.1089,11.6074,AS51167,256000,0.0,1.5999594e-05,0.0
jimr1603,E49D41C43E35BC4579FFEE9A9BB3BACEF24DEDC0,False,False,gb,England,Leeds,53.8109,-1.637,AS5089,102400,0.0,4.2665582e-07,0.0
bliblibli4,E4A23FEACFA0D7064C6694BE91BF94805E3CE487,True,False,de,unknown,unknown,51.2993,9.491,AS50629,21820579,0.0006923441,0.00048439516,0.0
UseMoaBandwidth,E4A7CF32D1EC81521E234C8BF46384E75838A8D7,True,False,fr,unknown,unknown,48.8582,2.3387,AS12876,18539690,0.00059612707,0.00041707742,0.0
niftyhousemouse,E4B04C7D734B2294E8ECE057303E89B91EE88462,True,True,de,unknown,unknown,51.2993,9.491,AS200052,36211470,0.0,0.0,0.0019052824
cooperhunterclark,E4B478B4C4B7B489276E7BF5BF257A0F1EDF67BA,False,True,bg,Sofia-Capital,Sofia,42.683,23.3175,AS59729,614400,0.0,0.0,7.6211295e-06
torrelay2,E4B4D728359B24F7E5BFD6C6BE0D08ED38981140,False,False,us,Iowa,Des Moines,41.6006,-93.6112,AS8075,2216960,0.0,7.573141e-05,0.0
Sobit,E4B6C117761DF05ABC08AD0A0EAE82D97014C427,False,False,us,New Jersey,Fort Lee,40.8492,-73.9735,AS701,2722767,0.0,5.333198e-05,0.0
L29Ah,E4BE02471657C3A17C667D7C079498E4B314049F,True,False,ru,unknown,unknown,55.7386,37.6068,AS25513,10073221,0.00017360893,0.00012146465,0.0
Gunbuster2020,E4CB7449182806088DCD6A707F45809F0694A50A,True,False,de,unknown,unknown,51.2993,9.491,AS8560,4188937,0.00014014215,9.804978e-05,0.0
CalyxInstitute01,E4D1F25DFBE484208866BA4A1A958B73127CB0AD,True,True,us,New York,Brooklyn,40.6521,-74.0018,AS4224,39147887,0.0,0.0,0.0013375082
julianSMN,E4E27D80236B421FAEA25797495B57E36FF9F7C2,True,False,fr,unknown,unknown,48.8582,2.3387,AS16276,4911519,8.073862e-05,5.6488378e-05,0.0
